what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285610717983
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611737557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611738233
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611741842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611747293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611748411
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611752515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611946861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611947709
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611955630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285611956734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285612396805
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285612398238
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285612505989
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285612506976
